rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
994.48999995366;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;8;9;2;3;1;7;3;11;2;html-keyboard-response;1059;1193434;0.0-1059.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1060;1193496;0.0-1060.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;10;2;4;1;5;0;7;1;html-keyboard-response;1061;1194508;0.0-1061.0;3038149;05/05/2020 16:59
999;imgJS/WFF_scramble_29.jpg,imgJS/WFF_scramble_26.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_scramble_25.jpg,imgJS/WFF_scramble_24.jpg,imgJS/WFF_8.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WMF_6.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_scramble_33.jpg,imgJS/WFF_;999;999;rsvp_img_15;8;10;2;4;1;5;0;7;1;rsvp_flux;1062;1195563;0.0-1062.0;3038149;05/05/2020 16:59
871.32999999449;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;8;10;2;4;1;5;0;7;1;html-keyboard-response;1063;1196438;0.0-1063.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1064;1196502;0.0-1064.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;11;2;5;1;6;3;10;0;html-keyboard-response;1065;1197507;0.0-1065.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_44.jpg,imgJS/WMN_scramble_49.jpg,imgJS/WMN_scramble_59.jpg,imgJS/WMN_scramble_75.jpg,imgJS/WMN_scramble_38.jpg,imgJS/WMN_scramble_43.jpg,imgJS/WMN_15.jpg,imgJS/WMN_scramble_36.jpg,imgJS/WMN_scramble_15.jpg,imgJS/WMN_scramble_3.jpg,;999;999;rsvp_img_15;8;11;2;5;1;6;3;10;0;rsvp_flux;1066;1198560;0.0-1066.0;3038149;05/05/2020 16:59
798.86000009719;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;8;11;2;5;1;6;3;10;0;html-keyboard-response;1067;1199362;0.0-1067.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1068;1199412;0.0-1068.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;12;2;5;1;8;3;10;0;html-keyboard-response;1069;1200418;0.0-1069.0;3038149;05/05/2020 16:59
999;imgJS/WMN_scramble_64.jpg,imgJS/WMN_scramble_86.jpg,imgJS/WMN_scramble_83.jpg,imgJS/WMN_scramble_91.jpg,imgJS/WMN_scramble_3.jpg,imgJS/WMN_scramble_28.jpg,imgJS/WMN_scramble_51.jpg,imgJS/WMN_scramble_71.jpg,imgJS/WMN_62.jpg,imgJS/WMN_scramble_15.jpg,;999;999;rsvp_img_15;8;12;2;5;1;8;3;10;0;rsvp_flux;1070;1201473;0.0-1070.0;3038149;05/05/2020 16:59
1903.0849999981;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;8;12;2;5;1;8;3;10;0;html-keyboard-response;1071;1203379;0.0-1071.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1072;1203423;0.0-1072.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;13;2;5;1;7;3;11;0;html-keyboard-response;1073;1204429;0.0-1073.0;3038149;05/05/2020 16:59
