runID	startTime	doneTime	participant_participantID	taskSession_taskSessionID	taskSessionID	sessionName	openingTime	closingTime	task_taskID	rt	stimulus	responses	key_press	test_part	blockNb	trialNb	condiEmoBlock	condiEmoTrial	condiRwd	posCritDist	distractor	posTarget	target	trial_type	trial_index	time_elapsed	internal_node_id	run_id	date	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	0	3	2	5	2	5	3	9	1	html-keyboard-response	14	27365	0.0-14.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WMN_scramble_31.jpg,imgJS/WMN_scramble_22.jpg,imgJS/WMN_scramble_63.jpg,imgJS/WMN_scramble_12.jpg,imgJS/WMN_scramble_50.jpg,imgJS/WMN_68.jpg,imgJS/WMN_scramble_33.jpg,imgJS/WMN_scramble_22.jpg,imgJS/WMN_scramble_49.jpg,imgJS/WMF_18.jpg,imgJS/WMN_scramble_64.jpg,imgJS/WMN_scramble_60.jpg,imgJS/WMN_scramble_3.jpg,imgJS/WMN_scramble_81.jpg,imgJS/WMN_scramble_22.jpg	999	999	rsvp_img_15	0	3	2	5	2	5	3	9	1	rsvp_flux	15	28419	0.0-15.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	332.21500006039	<div style="font-size:20px;"><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswFem	0	3	2	5	2	5	3	9	1	html-keyboard-response	16	28753	0.0-16.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	17	28790	0.0-17.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	0	4	2	6	2	4	2	6	0	html-keyboard-response	18	29795	0.0-18.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WFN_scramble_77.jpg,imgJS/WFN_scramble_33.jpg,imgJS/WFN_scramble_25.jpg,imgJS/WFN_scramble_2.jpg,imgJS/WFN_73.jpg,imgJS/WFN_scramble_45.jpg,imgJS/WFF_30.jpg,imgJS/WFN_scramble_21.jpg,imgJS/WFN_scramble_62.jpg,imgJS/WFN_scramble_22.jpg,imgJS/WFN_scramble_34.jpg,imgJS/WFN_scramble_50.jpg,imgJS/WFN_scramble_33.jpg,imgJS/WFN_scramble_63.jpg,imgJS/WFN_scramble_60.jpg	999	999	rsvp_img_15	0	4	2	6	2	4	2	6	0	rsvp_flux	19	30849	0.0-19.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	658.60500000417	<div style="font-size:20px;"><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswHom	0	4	2	6	2	4	2	6	0	html-keyboard-response	20	31510	0.0-20.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	21	31544	0.0-21.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	0	5	2	6	2	8	2	10	1	html-keyboard-response	22	32549	0.0-22.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WFN_scramble_14.jpg,imgJS/WFN_scramble_53.jpg,imgJS/WFN_scramble_30.jpg,imgJS/WFN_scramble_50.jpg,imgJS/WFN_scramble_23.jpg,imgJS/WFN_scramble_43.jpg,imgJS/WFN_scramble_53.jpg,imgJS/WFN_scramble_28.jpg,imgJS/WFN_67.jpg,imgJS/WFN_scramble_36.jpg,imgJS/WMF_26.jpg,imgJS/WFN_scramble_3.jpg,imgJS/WFN_scramble_9.jpg,imgJS/WFN_scramble_23.jpg,imgJS/WFN_scramble_61.jpg	999	999	rsvp_img_15	0	5	2	6	2	8	2	10	1	rsvp_flux	23	33603	0.0-23.0	26	11:22 26-5-2020	
