rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;imgJS/WFF_scramble_23.jpg,imgJS/WFF_scramble_2.jpg,imgJS/WFF_scramble_6.jpg,imgJS/WFF_scramble_27.jpg,imgJS/WFF_23.jpg,imgJS/WFF_scramble_17.jpg,imgJS/WFN_45.jpg,imgJS/WFF_scramble_3.jpg,imgJS/WFF_scramble_28.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_s;999;999;rsvp_img_15;3;14;1;2;1;4;0;6;2;rsvp_flux;473;451775;0.0-473.0;9546715;05/05/2020 14:35
634.68999997713;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;3;14;1;2;1;4;0;6;2;html-keyboard-response;474;452412;0.0-474.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;475;452450;0.0-475.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;15;1;4;1;5;0;9;1;html-keyboard-response;476;453455;0.0-476.0;9546715;05/05/2020 14:35
999;imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_34.jpg,imgJS/WFF_scramble_30.jpg,imgJS/WFF_scramble_29.jpg,imgJS/WFF_scramble_28.jpg,imgJS/WFF_6.jpg,imgJS/WFF_scramble_21.jpg,imgJS/WFF_scramble_17.jpg,imgJS/WFF_scramble_21.jpg,imgJS/WMF_2.jpg,imgJS/WFF_;999;999;rsvp_img_15;3;15;1;4;1;5;0;9;1;rsvp_flux;477;454509;0.0-477.0;9546715;05/05/2020 14:35
403.02500000689;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;3;15;1;4;1;5;0;9;1;html-keyboard-response;478;454915;0.0-478.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;479;454969;0.0-479.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;16;1;1;1;5;1;7;2;html-keyboard-response;480;455974;0.0-480.0;9546715;05/05/2020 14:35
999;imgJS/WMF_scramble_11.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_scramble_11.jpg,imgJS/WMF_scramble_6.jpg,imgJS/WMF_7.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WFN_80.jpg,imgJS/WMF_scramble_23.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_sc;999;999;rsvp_img_15;3;16;1;1;1;5;1;7;2;rsvp_flux;481;457027;0.0-481.0;9546715;05/05/2020 14:35
399.51500005554;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;3;16;1;1;1;5;1;7;2;html-keyboard-response;482;457430;0.0-482.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;483;457470;0.0-483.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;17;1;2;1;5;0;9;2;html-keyboard-response;484;458475;0.0-484.0;9546715;05/05/2020 14:35
999;imgJS/WFF_scramble_2.jpg,imgJS/WFF_scramble_28.jpg,imgJS/WFF_scramble_1.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFF_22.jpg,imgJS/WFF_scramble_18.jpg,imgJS/WFF_scramble_23.jpg,imgJS/WFF_scramble_9.jpg,imgJS/WFN_84.jpg,imgJS/WFF_s;999;999;rsvp_img_15;3;17;1;2;1;5;0;9;2;rsvp_flux;485;459530;0.0-485.0;9546715;05/05/2020 14:35
714.67000001576;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;3;17;1;2;1;5;0;9;2;html-keyboard-response;486;460247;0.0-486.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;487;460286;0.0-487.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;18;1;3;1;4;1;8;0;html-keyboard-response;488;461291;0.0-488.0;9546715;05/05/2020 14:35
999;imgJS/WMF_scramble_15.jpg,imgJS/WMF_scramble_4.jpg,imgJS/WMF_scramble_25.jpg,imgJS/WMF_scramble_23.jpg,imgJS/WMF_13.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WFF_32.jpg,imgJS/WMF_scramble_24.jpg,imgJS/WMF_s;999;999;rsvp_img_15;3;18;1;3;1;4;1;8;0;rsvp_flux;489;462344;0.0-489.0;9546715;05/05/2020 14:35
716.52999997605;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;3;18;1;3;1;4;1;8;0;html-keyboard-response;490;463063;0.0-490.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;491;463110;0.0-491.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;3;19;1;2;1;4;0;6;3;html-keyboard-response;492;464115;0.0-492.0;9546715;05/05/2020 14:35
999;imgJS/WFF_scramble_34.jpg,imgJS/WFF_scramble_4.jpg,imgJS/WFF_scramble_19.jpg,imgJS/WFF_scramble_26.jpg,imgJS/WFF_11.jpg,imgJS/WFF_scramble_3.jpg,imgJS/WMN_81.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_;999;999;rsvp_img_15;3;19;1;2;1;4;0;6;3;rsvp_flux;493;465169;0.0-493.0;9546715;05/05/2020 14:35
1409.7650001058;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;3;19;1;2;1;4;0;6;3;html-keyboard-response;494;466581;0.0-494.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;495;466620;0.0-495.0;9546715;05/05/2020 14:35
