rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
717.16999995988;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;9;1;4;1;4;0;6;0;html-keyboard-response;91;197365;0.0-91.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;92;197404;0.0-92.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;10;1;1;1;4;1;8;3;html-keyboard-response;93;198408;0.0-93.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_5.jpg,imgJS/WMF_scramble_25.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_scramble_16.jpg,imgJS/WMF_1.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_27.jpg,imgJS/WMN_69.jpg,imgJS/WMF_scramble_3.jpg,imgJS/WMF_s;999;999;rsvp_img_15;0;10;1;1;1;4;1;8;3;rsvp_flux;94;199461;0.0-94.0;8651065;06/05/2020 14:25
580.23999992292;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;10;1;1;1;4;1;8;3;html-keyboard-response;95;200044;0.0-95.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;96;200084;0.0-96.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;11;1;4;1;6;0;10;1;html-keyboard-response;97;201090;0.0-97.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_17.jpg,imgJS/WFF_scramble_31.jpg,imgJS/WFF_scramble_14.jpg,imgJS/WFF_scramble_32.jpg,imgJS/WFF_scramble_10.jpg,imgJS/WFF_scramble_7.jpg,imgJS/WFF_7.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFF_scramble_27.jpg,imgJS/WFF_scramble_12.jpg,i;999;999;rsvp_img_15;0;11;1;4;1;6;0;10;1;rsvp_flux;98;202144;0.0-98.0;8651065;06/05/2020 14:25
672.43499995675;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;0;11;1;4;1;6;0;10;1;html-keyboard-response;99;202819;0.0-99.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;100;202859;0.0-100.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;12;1;1;1;6;1;8;3;html-keyboard-response;101;203864;0.0-101.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_21.jpg,imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_8.jpg,imgJS/WMF_scramble_17.jpg,imgJS/WMF_8.jpg,imgJS/WMF_scramble_16.jpg,imgJS/WMN_20.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_;999;999;rsvp_img_15;0;12;1;1;1;6;1;8;3;rsvp_flux;102;204918;0.0-102.0;8651065;06/05/2020 14:25
597.88000001572;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;12;1;1;1;6;1;8;3;html-keyboard-response;103;205519;0.0-103.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;104;205562;0.0-104.0;8651065;06/05/2020 14:25
